ticket_id,subject,body,predicted_category,predicted_subcategory,confidence_score,sentiment,escalate_to_human,escalation_reason,suggested_reply,ground_truth_category,extracted_entities,classification_reasoning,used_llm_classifier,ground_truth_escalate
TCK-1023,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-221035.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1192,Library organization suggestion,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,App UI / UX Suggestion,0.78,Neutral,False,,"Hello,

Thank you so much for taking the time to share your feedback with PocketToons!

We love hearing from our listeners. Your suggestions have been shared directly with our Product and Content teams as we work on upcoming app updates and show releases.

Thanks for being a valued part of our community!

Warmly,
PocketToons Product Team",Feedback & General,,,,
TCK-1151,Audio speeds up and sounds robot-like,"Whenever I play any audio show, the track plays 5 seconds then buffers endlessly. My internet connection is fast (100 Mbps). Device: Xiaomi Redmi Note 12 (Android 13).",Technical & Playback Bugs,Audio Stutter / Buffering,0.78,Neutral,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1136,Audio speeds up and sounds robot-like,"Whenever I play any audio show, the track plays 5 seconds then buffers endlessly. My internet connection is fast (100 Mbps). Device: Web Browser (Chrome 122).",Technical & Playback Bugs,Audio Stutter / Buffering,0.78,Neutral,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1118,VIP membership inactive on my account,"I paid for the Annual VIP Pass last month. Today after updating to v3.10.4, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1017,Cannot cancel monthly subscription,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Subscription Cancellation Issue,0.95,Negative,False,,"Hello,

Thanks for reaching out to PocketToons. We're sorry to see you go!

We have verified your account and stopped any future recurring auto-renewals for your subscription. You will continue to have full access to your VIP privileges until the end of your current billing cycle.

You can also manage your subscriptions directly via your device settings:
• iOS: Settings > Apple ID > Subscriptions > PocketToons
• Android: Play Store > Profile > Payments & subscriptions > Subscriptions

Let us know if you need anything else!

Warm regards,
PocketToons Customer Care",Billing & Refunds,,,,
TCK-1029,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Unauthorized Charge,0.95,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1127,Purchased 1000 coins but balance is still 0,"Hey support, I bought 500 coins for $9.99. Receipt #ORD-437758 received, but coins haven't shown up after restarting the app. User ID: USR-13478.",Content Access & Coins,Coins Not Credited,0.78,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1035,Double billing issue on order ORD-945687,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-945687. Please refund the extra $9.99.",Billing & Refunds,Double Billing,0.87,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1146,App freeze during coin checkout,Crash report: app crashes every time I try to play Episode 10 of any series.,Technical & Playback Bugs,App Crash,0.87,Neutral,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1178,Login error code 500,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,0.87,Negative,True,Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1048,Cannot cancel monthly subscription,Please cancel my subscription immediately and send confirmation to my email. I do not want auto-renew enabled.,Billing & Refunds,Subscription Cancellation Issue,0.87,Negative,False,,"Hello,

Thanks for reaching out to PocketToons. We're sorry to see you go!

We have verified your account and stopped any future recurring auto-renewals for your subscription. You will continue to have full access to your VIP privileges until the end of your current billing cycle.

You can also manage your subscriptions directly via your device settings:
• iOS: Settings > Apple ID > Subscriptions > PocketToons
• Android: Play Store > Profile > Payments & subscriptions > Subscriptions

Let us know if you need anything else!

Warm regards,
PocketToons Customer Care",Billing & Refunds,,,,
TCK-1112,Restore purchase not working for VIP pass,"I paid for the Annual VIP Pass last month. Today after updating to v3.11.8, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,Coins Not Credited,0.87,Neutral,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1173,Login error code 500,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,0.87,Negative,True,Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1020,Refund request for accidental purchase,My 6-year-old toddler tapped the screen and accidentally bought the 2000 coins pack for $29.99. None of the coins have been used yet. Can you please process a refund?,Billing & Refunds,Refund Request,0.78,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Support regarding your refund request.

We understand accidental purchases can happen. We have logged your request. If this purchase was made within the last 14 days and the coin balance/content remains unused, our billing system will automatically process a full refund to your original payment method within 24-48 hours.

Please confirm your Order ID if you haven't attached it yet so we can expedite your processing.

Best regards,
PocketToons Billing Team",Billing & Refunds,,,,
TCK-1198,Suggestion for narrator sound quality,Just wanted to say the narration team for 'Alpha King' is phenomenal! Amazing sound effects and performance.,Feedback & General,Narrator Voice Feedback,0.78,Positive,False,,"Hello,

Thank you so much for taking the time to share your feedback with PocketToons!

We love hearing from our listeners. Your suggestions have been shared directly with our Product and Content teams as we work on upcoming app updates and show releases.

Thanks for being a valued part of our community!

Warmly,
PocketToons Product Team",Feedback & General,,,,
TCK-1168,OTP SMS code not arriving,"I'm trying to log in using my phone number, but the 6-digit OTP SMS code is never delivered to my phone. I tried 5 times. Please help me log in.",Account & Security,Cannot Login / OTP Fail,0.78,Neutral,True,Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1176,GDPR data deletion request,I want to close my account permanently. How do I delete my profile data?,Account & Security,Account Deletion Request,0.83,Neutral,True,Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('gdpr'),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Regulatory compliance / Data deletion request | Category 'Account & Security' requires human agent review | Category escalation trigger ('gdpr')

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1085,Missing coin purchase,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1067,Requesting refund for Order #ORD-882169,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-882169 so I can buy the correct one.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Billing & Refunds,,,,
TCK-1030,Double billing issue on order ORD-140605,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Double Billing,0.78,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('sue') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
TCK-1188,Feature request: Playback speed control 2.5x,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,Content Catalog Request,0.78,Neutral,False,,"Hello,

Thank you so much for taking the time to share your feedback with PocketToons!

We love hearing from our listeners. Your suggestions have been shared directly with our Product and Content teams as we work on upcoming app updates and show releases.

Thanks for being a valued part of our community!

Warmly,
PocketToons Product Team",Feedback & General,,,,
TCK-1187,Feedback on narrator for 'Vampire Prince',Just wanted to say the narration team for 'Alpha King' is phenomenal! Amazing sound effects and performance.,Feedback & General,Narrator Voice Feedback,0.66,Positive,False,,"Hello,

Thank you so much for taking the time to share your feedback with PocketToons!

We love hearing from our listeners. Your suggestions have been shared directly with our Product and Content teams as we work on upcoming app updates and show releases.

Thanks for being a valued part of our community!

Warmly,
PocketToons Product Team",Feedback & General,,,,
TCK-1156,Crash when opening 'My Library' tab,Crash report: app crashes every time I try to play Episode 10 of any series.,Technical & Playback Bugs,App Crash,0.78,Neutral,False,,"Hello,

Thank you for reporting this playback issue to PocketToons Engineering.

We recommend attempting the following troubleshooting steps:
1. Ensure your app is updated to the latest version in App Store / Play Store.
2. Go to Settings > Storage & Cache > Clear Cache.
3. Toggle Airplane Mode ON for 5 seconds and back OFF.

Our tech team has logged your device details for further diagnostics.

Best regards,
PocketToons Tech Support",Technical & Playback Bugs,,,,
TCK-1114,Episode 25 locked despite using 10 coins,Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,0.87,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1181,My coin balance was drained by an unauthorized login,Urgent: Unauthorized password change notification received. I did not request this. Freeze my account to prevent fraud!,Account & Security,Account Deletion Request,0.87,Neutral,True,Account security / compromise alert | Category 'Account & Security' requires human agent review,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Account security / compromise alert | Category 'Account & Security' requires human agent review

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Account & Security,,,,
TCK-1043,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Unauthorized Charge,0.95,Negative,False,,"Hello,

Thank you for reaching out to PocketToons Billing Support.

We have received your billing query. Our billing team is reviewing your transaction logs. If any discrepancies or unauthorized charges are identified, rest assured they will be immediately adjusted or refunded.

Thank you for your patience,
PocketToons Support Team",Billing & Refunds,,,,
TCK-1100,Purchased 1000 coins but balance is still 0,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,0.78,Negative,False,,"Hello,

Thank you for bringing this to our attention! We apologize for the delay in crediting your purchased coins.

To immediately sync your coin wallet, please try the following steps:
1. Force-close the PocketToons app and re-open it.
2. Go to Profile > Account Settings and tap 'Sync Wallet Balance'.

Our system has also triggered a manual sync for your recent order. Your coin balance should reflect within 5-10 minutes. If your balance does not update, please send us your Store Receipt Number and we will manually credit your account.

Best regards,
PocketToons Content Team",Content Access & Coins,,,,
TCK-1092,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,0.95,Negative,False,,"Hello,

We apologize for the glitch with your unlocked episode!

We have refreshed your content access tokens on our server for your account. Please force-close the app, reopen the show page, and tap 'Restore Unlocked Episodes'. You should now be able to play all unlocked episodes smoothly without any extra coin deductions.

Happy listening!
PocketToons Support Team",Content Access & Coins,,,,
TCK-1080,VIP membership inactive on my account,Paid $49.99 for yearly VIP membership. Order #ORD-402630. Still showing lock icons on exclusive episodes.,Content Access & Coins,VIP Membership Missing,0.41,Neutral,True,Low classifier confidence (0.41 < 0.60),"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Low classifier confidence (0.41 < 0.60)

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Content Access & Coins,,,,
TCK-1191,Please add Dark Mode support,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,Narrator Voice Feedback,0.78,Neutral,False,,"Hello,

Thank you so much for taking the time to share your feedback with PocketToons!

We love hearing from our listeners. Your suggestions have been shared directly with our Product and Content teams as we work on upcoming app updates and show releases.

Thanks for being a valued part of our community!

Warmly,
PocketToons Product Team",Feedback & General,,,,
TCK-1039,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-596171.,Billing & Refunds,Unauthorized Charge,0.95,Severe/Frustrated,True,Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category,"[HUMAN AGENT DRAFT ONLY - DO NOT AUTO-SEND]
Reason for Escalation: Legal/Regulatory escalation trigger ('attorney') | Category escalation trigger ('attorney') | Category escalation trigger ('fraud') | Severe frustration on high-priority category

Hello,
Thank you for reaching out to PocketToons Support. Your request has been escalated to a senior support specialist for priority review. A team member will inspect your account details and follow up with you within 2-4 hours.

Best regards,
PocketToons Tier 2 Escalations Team",Billing & Refunds,,,,
