ticket_id,created_at,user_id,channel,device_info,app_version,subject,body,ground_truth_category,ground_truth_subcategory,ground_truth_escalate,ground_truth_escalation_reason
TCK-1080,2026-07-15 10:55:53,USR-99166,Web Help Center,iPad Air (iOS 17.2),v3.12.0,VIP membership inactive on my account,Paid $49.99 for yearly VIP membership. Order #ORD-402630. Still showing lock icons on exclusive episodes.,Content Access & Coins,VIP Membership Missing,False,
TCK-1191,2026-07-10 12:42:53,USR-19358,Mobile App,Pixel 8 (Android 14),v3.12.1,Please add Dark Mode support,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,App UI / UX Suggestion,False,
TCK-1039,2026-07-13 22:09:53,USR-30033,Mobile App,Web Browser (Chrome 122),v3.12.1,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-596171.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1126,2026-07-16 09:20:53,USR-57447,Mobile App,iPad Air (iOS 17.2),v3.10.4,Missing coin purchase,Payment was successful on Google Play but the app threw an error 'Transaction Pending' and my coins are missing. Please help credit them.,Content Access & Coins,Coins Not Credited,False,
TCK-1167,2026-07-17 05:33:53,USR-88172,In-App Form,Samsung Galaxy S23 (Android 14),v3.12.1,Permanently close my PocketToons account,"Under GDPR / CCPA regulations, I hereby request the permanent deletion of my PocketToons account (User ID: USR-88172) and all associated personal data from your systems.",Account & Security,Account Deletion Request,True,Regulatory compliance / GDPR / CCPA data erasure request
TCK-1049,2026-07-11 06:56:53,USR-24592,Web Help Center,Pixel 8 (Android 14),v3.10.4,Charged after cancelling VIP membership,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1055,2026-07-08 21:34:53,USR-39256,In-App Form,Samsung Galaxy S23 (Android 14),v3.12.1,I did not authorize this purchase,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-751517.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1144,2026-07-07 06:12:53,USR-35203,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Storage full error despite 20GB free space,Downloaded files disappeared from my library after signing out and signing back in.,Technical & Playback Bugs,Offline Download Failed,False,
TCK-1022,2026-07-08 15:40:53,USR-44718,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-974244.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1108,2026-07-07 04:37:53,USR-57400,In-App Form,Samsung Galaxy S23 (Android 14),v3.11.8,Episode 25 locked despite using 10 coins,Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1186,2026-07-16 11:17:53,USR-37460,In-App Form,iPad Air (iOS 17.2),v3.10.4,Remove my personal info from your servers,Please delete my account and purge my email address and payment history from your database.,Account & Security,Account Deletion Request,True,Regulatory compliance / GDPR / CCPA data erasure request
TCK-1026,2026-07-19 13:13:53,USR-82512,In-App Form,iPhone 14 Pro (iOS 17.4),v3.12.0,Cannot cancel monthly subscription,Where is the cancel button for PocketToons VIP? It keeps giving me an error message when I click 'Manage Subscription'. Stop billing my card!,Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1072,2026-07-17 04:00:53,USR-86484,In-App Form,iPad Air (iOS 17.2),v3.11.8,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1009,2026-07-10 15:05:53,USR-60019,In-App Form,Web Browser (Chrome 122),v3.10.4,I did not authorize this purchase,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1162,2026-07-09 19:43:53,USR-15695,In-App Form,Pixel 8 (Android 14),v3.10.4,Crash when opening 'My Library' tab,"Ever since updating to v3.10.4, the PocketToons app crashes immediately to the home screen upon launch. I cleared cache and reinstalled but issue persists on Pixel 8 (Android 14).",Technical & Playback Bugs,App Crash,False,
TCK-1199,2026-07-07 13:21:53,USR-65392,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Sleep timer option request,Please add a folder or playlist feature in 'My Library' to organize finished vs. ongoing shows.,Feedback & General,App UI / UX Suggestion,False,
TCK-1179,2026-07-16 20:50:53,USR-42087,Email Support,iPhone 14 Pro (iOS 17.4),v3.11.8,Request to delete my account and personal data,I want to close my account permanently. How do I delete my profile data?,Account & Security,Account Deletion Request,True,Regulatory compliance / GDPR / CCPA data erasure request
TCK-1102,2026-07-20 03:57:53,USR-88172,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Purchased 1000 coins but balance is still 0,"I purchased the $14.99 coin pack 30 minutes ago via Apple Pay. Money was deducted from my account (Order #ORD-532067), but my in-app coin wallet still shows 0. Please credit my coins!",Content Access & Coins,Coins Not Credited,False,
TCK-1174,2026-07-19 20:59:53,USR-65302,Mobile App,iPad Air (iOS 17.2),v3.10.4,Urgently help - someone hacked my account!,I can no longer log into my account with my email. It says 'User does not exist'. I think my account was hacked and email was changed without my permission.,Account & Security,Suspicious Activity / Hacked Account,True,Account compromise / Security breach / Hacked account
TCK-1036,2026-07-13 00:34:53,USR-30926,Web Help Center,Pixel 8 (Android 14),v3.11.8,Refund for unlistened audiobook season,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-854717 so I can buy the correct one.,Billing & Refunds,Refund Request,False,
TCK-1058,2026-07-16 01:03:53,USR-38893,Mobile App,Pixel 8 (Android 14),v3.12.0,Fraudulent charge from PocketToons,I am contacting my bank and attorney if this $50 unauthorized renewal is not refunded immediately. Order ID ORD-831059.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1097,2026-07-16 23:30:53,USR-80644,Web Help Center,Web Browser (Chrome 122),v3.12.1,Purchased annual VIP pass but still seeing ads and paywalls,"I paid for the Annual VIP Pass last month. Today after updating to v3.12.1, my account reverted to Free Tier and asks me to buy coins again. I pressed 'Restore Purchases' but nothing happened.",Content Access & Coins,VIP Membership Missing,False,
TCK-1123,2026-07-07 11:43:53,USR-46048,Mobile App,Samsung Galaxy S23 (Android 14),v3.11.8,Purchased 1000 coins but balance is still 0,"Hey support, I bought 500 coins for $9.99. Receipt #ORD-475644 received, but coins haven't shown up after restarting the app. User ID: USR-46048.",Content Access & Coins,Coins Not Credited,False,
TCK-1010,2026-07-07 12:41:53,USR-81426,Web Help Center,iPad Air (iOS 17.2),v3.11.8,Double billing issue on order ORD-790993,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Double Billing,False,
TCK-1086,2026-07-06 07:43:53,USR-36062,Mobile App,Pixel 8 (Android 14),v3.11.8,Episode unlock error on 'CEO's Hidden Heiress',Coins were deducted twice for unlocking the same episode! Check my transaction history.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1153,2026-07-08 01:00:53,USR-94939,Mobile App,iPad Air (iOS 17.2),v3.12.0,Audio speeds up and sounds robot-like,The audio player pitch is distorted and plays at 2x speed automatically even when 1x is selected. Please fix this player bug.,Technical & Playback Bugs,Audio Stutter / Buffering,False,
TCK-1109,2026-07-13 17:31:53,USR-44718,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.11.8,Episode 25 locked despite using 10 coins,Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1090,2026-07-09 19:11:53,USR-51245,Web Help Center,Samsung Galaxy S23 (Android 14),v3.12.0,VIP status lost after app update,Paid $49.99 for yearly VIP membership. Order #ORD-197736. Still showing lock icons on exclusive episodes.,Content Access & Coins,VIP Membership Missing,False,
TCK-1076,2026-07-15 14:12:53,USR-13478,Mobile App,Samsung Galaxy S23 (Android 14),v3.12.1,Coins deducted but episode won't play,"I spent 15 coins to unlock Episode 45 of 'Shadow Monarch', my coins were deducted, but when I click play it asks me to spend another 15 coins! Please fix this lock state.",Content Access & Coins,Episode Locked After Unlock,False,
TCK-1006,2026-07-07 18:04:53,USR-17331,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.10.4,Charged after cancelling VIP membership,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1175,2026-07-06 07:57:53,USR-42098,In-App Form,Xiaomi Redmi Note 12 (Android 13),v3.12.1,Permanently close my PocketToons account,Please delete my account and purge my email address and payment history from your database.,Account & Security,Account Deletion Request,True,Regulatory compliance / GDPR / CCPA data erasure request
TCK-1052,2026-07-16 15:25:53,USR-86622,Web Help Center,iPhone 14 Pro (iOS 17.4),v3.11.8,Fraudulent charge from PocketToons,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1047,2026-07-13 19:48:53,USR-51347,Mobile App,Samsung Galaxy S23 (Android 14),v3.12.1,I did not authorize this purchase,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1138,2026-07-13 16:15:53,USR-40021,In-App Form,iPad Air (iOS 17.2),v3.11.8,Audio speeds up and sounds robot-like,The audio player pitch is distorted and plays at 2x speed automatically even when 1x is selected. Please fix this player bug.,Technical & Playback Bugs,Audio Stutter / Buffering,False,
TCK-1018,2026-07-19 13:51:53,USR-16006,Mobile App,iPhone 14 Pro (iOS 17.4),v3.12.1,Charged twice for 500 Coin Pack,"Hello team, I was charged twice for the monthly VIP pass ($14.99 x 2). I only pressed subscribe once. Please reverse the duplicate payment immediately.",Billing & Refunds,Double Billing,False,
TCK-1056,2026-07-13 08:58:53,USR-66155,In-App Form,Pixel 8 (Android 14),v3.11.8,Unrecognized charge of $49.99 on my statement,I noticed a charge of $49.99 from PocketToons on my credit card today. I cancelled my subscription last month! This is an unauthorized charge. Refund me now or I will file a bank chargeback.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1014,2026-07-15 04:19:53,USR-38746,In-App Form,iPad Air (iOS 17.2),v3.12.0,How to stop recurring billing?,"I tried cancelling my $9.99 monthly pass in settings last week, but I was still billed today. Please verify my cancellation and refund this month's charge.",Billing & Refunds,Subscription Cancellation Issue,False,
TCK-1002,2026-07-09 23:19:53,USR-24371,In-App Form,Web Browser (Chrome 122),v3.11.8,Unauthorized auto-renewal after cancellation,My credit card was charged $19.99 for coins I never purchased. I haven't opened the app in weeks. Please investigate this fraudulent charge and issue a full refund.,Billing & Refunds,Unauthorized Charge,True,Threat of bank chargeback / legal action or unauthorized fraud report
TCK-1130,2026-07-12 02:18:53,USR-37653,Email Support,Web Browser (Chrome 122),v3.12.0,Episode unlock error on 'CEO's Hidden Heiress',Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1177,2026-07-15 02:23:53,USR-65333,Web Help Center,Xiaomi Redmi Note 12 (Android 13),v3.12.0,Account compromised / Security breach,"I received an email alert about a login from an IP address in Europe. I live in US. Someone logged into my account, changed my nickname, and spent 800 of my saved coins! Please lock my account and restore my coins immediately!",Account & Security,Suspicious Activity / Hacked Account,True,Account compromise / Security breach / Hacked account
TCK-1061,2026-07-11 21:10:53,USR-60432,Web Help Center,iPad Air (iOS 17.2),v3.10.4,Refund for unlistened audiobook season,I accidentally bought the wrong coin tier ($19.99 instead of $4.99). I haven't spent any of the coins. Please refund Order #ORD-912270 so I can buy the correct one.,Billing & Refunds,Refund Request,False,
TCK-1084,2026-07-08 16:13:53,USR-76784,Web Help Center,iPad Air (iOS 17.2),v3.11.8,VIP membership inactive on my account,"My VIP membership is active on iOS but when I log into iPad, it says I don't have VIP. Please sync my account privileges.",Content Access & Coins,VIP Membership Missing,False,
TCK-1154,2026-07-19 07:18:53,USR-95181,Web Help Center,Xiaomi Redmi Note 12 (Android 13),v3.10.4,Downloaded episodes won't play offline,Downloads get stuck at 99% and fail with code ERR_STORAGE_WRITE. Device has over 30GB free storage available.,Technical & Playback Bugs,Offline Download Failed,False,
TCK-1101,2026-07-09 14:36:53,USR-87397,Email Support,iPhone 14 Pro (iOS 17.4),v3.11.8,Payment went through but no coins received (Order #ORD-440131),"Hey support, I bought 500 coins for $9.99. Receipt #ORD-440131 received, but coins haven't shown up after restarting the app. User ID: USR-87397.",Content Access & Coins,Coins Not Credited,False,
TCK-1143,2026-07-18 09:57:53,USR-10851,In-App Form,iPad Air (iOS 17.2),v3.10.4,Crash when opening 'My Library' tab,The app freezes completely and screen turns black whenever I open my downloaded shows tab. Needs urgent bug fix.,Technical & Playback Bugs,App Crash,False,
TCK-1091,2026-07-11 20:12:53,USR-56566,Web Help Center,Web Browser (Chrome 122),v3.11.8,Episode unlock error on 'CEO's Hidden Heiress',Unlocked Episodes 10 to 15 in bulk for 50 coins. Episodes 12 and 13 are still showing a padlock icon. Please restore my unlocked episodes.,Content Access & Coins,Episode Locked After Unlock,False,
TCK-1125,2026-07-07 00:06:53,USR-68878,Mobile App,Xiaomi Redmi Note 12 (Android 13),v3.12.1,VIP membership inactive on my account,"My VIP membership is active on iOS but when I log into iPad, it says I don't have VIP. Please sync my account privileges.",Content Access & Coins,VIP Membership Missing,False,
TCK-1046,2026-07-09 17:28:53,USR-58520,Email Support,Pixel 8 (Android 14),v3.11.8,Charged twice for 500 Coin Pack,"Hi, I bought the $9.99 coin bundle yesterday on my iPhone. My bank statement shows two pending charges of $9.99 on the same minute! Transaction ID: ORD-345884. Please refund the extra $9.99.",Billing & Refunds,Double Billing,False,
